siteengname	SO2 Average 	Maximum	X	Y	Months 	  Month/Year
Hsinchu	2.85	9.8	120.9723675	24.8056356	4	
Toufen	2.28	6.1	120.8986929	24.69690679	4	
Miaoli	1.96	5.8	120.8201147	24.56499183	4	
Sanyi	1.92	4.7	120.7595675	24.38248443	4	
Fengyuan	1.8	5.9	120.7425241	24.25699731	4	
Shalu	1.32	4.9	120.568794	24.225628	4	
Dali	1.86	6.8	120.6784444	24.09961111	4	
Zhongming	1.97	5.7	120.641092	24.151958	4	
Xitun	1.47	5.1	120.616917	24.162197	4	
Changhua	1.53	4.8	120.541519	24.066	4	
Xianxi	2.17	12	120.469061	24.131672	4	
Erlin	2.49	8.7	120.409653	23.925175	4	
Nantou	1.92	11.5	120.685306	23.913	4	
Douliu	1.96	12.4	120.544994	23.711853	4	
Lunbei	2.09	7.9	120.348742	23.757547	4	
Xingang	2.13	6.5	120.345531	23.554839	4	
Puzi	2.09	4.7	120.2478	23.46538	4	
Taixi	3	11.7	120.1993333	23.702175	4	
Chiayi	2.45	14.8	120.4412515	23.46477865	4	
Xinying	3.42	9.8	120.31725	23.305633	4	
Shanhua			120.2974053	23.11337642	4	
Annan	1.94	7.5	120.2175	23.048197	4	
Tainan	2.04	9.4	120.22085	22.99123	4	
Meinong	2.39	8.3	120.530542	22.883583	4	
Qiaotou	2.2	9.4	120.305689	22.757506	4	
Renwu	2.4	20.7	120.332631	22.689056	4	
Fengshan	2.4	68.6	120.357422	22.628126	4	
Daliao	2.36	6	120.425311	22.56413611	4	
Linyuan	2.16	5	120.41175	22.4795	4	
Nanzi	2.25	5	120.328289	22.733667	4	
Zuoying	2.12	5.7	120.292917	22.674861	4	
Qianjin	3.11	9.8	120.2867611	22.63390278	4	
Qianzhen	2.81	29.7	120.3083336	22.6044507	4	
Xiaogang	1.6	4	120.337736	22.565833	4	
Pingtung	2.83	12.9	120.488033	22.673081	4	
Chaozhou	2.58	9.87	120.561175	22.523108	4	
Hengchun	2.31	7	120.788928	21.958069	4	
Taitung	2.71	11.3	121.15045	22.755358	4	
Hualien	3.2	18	121.599769	23.971306	4	
Yangming	3.81	28.2	121.529583	25.182722	4	
